title,duration,company
The Impact of Climate Change on Birds,0.75,DATACAMP
Real-time Insights from Social Media Data,0.75,DATACAMP
Trends in Maryland Crime Rates,0.75,DATACAMP
Clustering Bustabit Gambling Behavior,0.75,DATACAMP
Going Down to South Park: A Text Analysis,0.75,DATACAMP
Planning Public Policy in Argentina,0.75,DATACAMP
What and Where Are the World's Oldest Businesses?,0.75,DATACAMP
Give Life: Predict Blood Donations,0.75,DATACAMP
Clustering Heart Disease Patient Data,0.75,DATACAMP
Where Are the Fishes?,0.75,DATACAMP
Analyze Your Runkeeper Fitness Data,0.75,DATACAMP
Comparing Cosmetics by Ingredients,0.75,DATACAMP
A Text Analysis of Trump's Tweets,0.75,DATACAMP
Predict Taxi Fares with Random Forests,0.75,DATACAMP
Book Recommendations from Charles Darwin,0.75,DATACAMP
Naïve Bees: Deep Learning with Images,0.75,DATACAMP
Drunken Datetimes in Ames,0.75,DATACAMP
Explore 538's Halloween Candy Rankings,1,DATACAMP
Degrees That Pay You Back,0.75,DATACAMP
Extract Stock Sentiment from News Headlines,0.75,DATACAMP
Gender Bias in Graduate Admissions,0.75,DATACAMP
Data Science for Social Good: Crime Study,0.75,DATACAMP
Comparing Search Interest with Google Trends,0.75,DATACAMP
ASL Recognition with Deep Learning,0.75,DATACAMP
Where Would You Open a Chipotle?,0.75,DATACAMP
Do Left-handed People Really Die Young?,0.75,DATACAMP
What Your Heart Rate Is Telling You,1,DATACAMP
Who's Tweeting? Trump or Trudeau?,1,DATACAMP
Partnering to Protect You from Peril,1,DATACAMP
Naïve Bees: Predict Species from Images,1,DATACAMP
Naïve Bees: Image Loading and Processing,1,DATACAMP
Mobile Games A/B Testing with Cookie Cats,0.75,DATACAMP
Scout your Athletics Fantasy Team,0.75,DATACAMP
Visualizing Inequalities in Life Expectancy,0.75,DATACAMP
Name Game: Gender Prediction using Sound,0.75,DATACAMP
Wrangling and Visualizing Musical Data,0.75,DATACAMP
Which Debts Are Worth the Bank's Effort?,0.75,DATACAMP
Rise and Fall of Programming Languages,1,DATACAMP
Classify Song Genres from Audio Data,1,DATACAMP
Level Difficulty in Candy Crush Saga,0.75,DATACAMP
